prr,algorithm,num_communities,modularity,jaccard,nmi,variation_of_info
0.0,Infomap,33,0.4200806062069799,0.02183318241271758,0.06101542153434391,6.87114026666845
0.0,Louvain,11,0.4586996965946142,0.06498748688140793,0.01616384472061812,5.618849550520064
0.0,Leiden,12,0.47490490278951825,0.062173588659537427,0.027884394482362563,5.669164920343515
0.08,Infomap,1,0.0,0.19732441471571907,0.0,2.321928094887362
0.08,Louvain,8,0.299847867460878,0.17434947108331403,0.21887266047407816,4.071250045418535
0.08,Leiden,8,0.31942537312369473,0.1597416061886913,0.1986632395483417,4.2412352514196225
0.16,Infomap,5,0.45872675104031524,0.9866442199775534,0.9894489329632017,0.048996792263291455
0.16,Louvain,5,0.45872675104031524,0.9866442199775534,0.9894489329632017,0.048996792263291455
0.16,Leiden,5,0.45876874047835664,1.0,1.0,0.0
0.32,Infomap,5,0.5936062502029502,1.0,1.0,0.0
0.32,Louvain,5,0.5936062502029502,1.0,1.0,0.0
0.32,Leiden,5,0.5936062502029502,1.0,1.0,0.0
0.64,Infomap,5,0.6855902784960463,1.0,1.0,0.0
0.64,Louvain,5,0.6855902784960461,1.0,1.0,0.0
0.64,Leiden,5,0.6855902784960461,1.0,1.0,0.0
1.0,Infomap,5,0.7239913469306816,1.0,1.0,0.0
1.0,Louvain,5,0.7239913469306816,1.0,1.0,0.0
1.0,Leiden,5,0.7239913469306816,1.0,1.0,0.0
